#<KTE>Keithley Results File
#<VERSION>2.5
#<DELIMITER>,
F,C,D,stat,
1000.00,-8.00706e-11,-1.83228,142606368,
2000.00,2.75626e-11,-1.42559,,
3000.00,2.95608e-12,-1.20968,,
4000.00,-3.30152e-12,-2.53875,,
5000.00,4.19215e-12,-2.91164,,
6000.00,4.57002e-12,-0.436617,,
7000.00,5.09942e-12,0.590836,,
8000.00,3.11757e-12,-1.92274,,
9000.00,4.39724e-12,-0.728622,,
10000.0,3.51960e-12,-1.30253,,
20000.0,7.35827e-12,-0.228854,,
30000.0,6.20757e-12,-0.176716,,
40000.0,6.41685e-12,-0.126117,,
50000.0,6.45111e-12,-0.0877749,,
60000.0,6.27249e-12,-0.0809740,,
70000.0,6.44971e-12,-0.0771860,,
80000.0,6.13037e-12,-0.0609111,,
90000.0,6.13737e-12,-0.0679388,,
100000.,6.16313e-12,-0.0450860,,
200000.,5.82251e-12,-0.0820503,,
300000.,4.95764e-12,-0.246333,,
400000.,4.58263e-12,-0.627468,,
500000.,5.74969e-12,-0.876602,,
600000.,8.11293e-12,-0.676579,,
700000.,9.71375e-12,-0.479537,,
800000.,1.03545e-11,-0.354007,,
900000.,1.05900e-11,-0.270236,,
1.00000e+06,1.07099e-11,-0.210190,,
